SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LONG,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,11,L23-CBI1158-1A,13.351813,100.9826803,360,30,33161,38852,447,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,12,L23-CBI1158-2A,13.351813,100.9826803,360,30,33161,39050,447,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,13,L23-CBI1158-3A,13.351813,100.9826803,360,30,33161,39248,447,520,17
LTE,CBI1255,500933,CBI1255-L23,MEDICAL RESEARCH CENTER BURAPHA UNIVERSITY,11,L23-CBI1255-1A,13.284933,100.923176,0,30,33162,38852,456,520,17
LTE,CBI1255,500933,CBI1255-L23,MEDICAL RESEARCH CENTER BURAPHA UNIVERSITY,12,L23-CBI1255-2A,13.284933,100.923176,0,30,33162,39050,456,520,17
LTE,CBI1255,500933,CBI1255-L23,MEDICAL RESEARCH CENTER BURAPHA UNIVERSITY,13,L23-CBI1255-3A,13.284933,100.923176,0,30,33162,39248,456,520,17
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,101,L23-CBI0341-1J,13.3555,100.9881,190,30,33161,38852,294,520,17
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,102,L23-CBI0341-2J,13.3555,100.9881,190,30,33161,39050,294,520,17
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,103,L23-CBI0341-3J,13.3555,100.9881,190,30,33161,39248,294,520,17
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,111,L23-CBI0341-1K,13.3555,100.9881,250,30,33161,38852,73,520,17
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,112,L23-CBI0341-2K,13.3555,100.9881,250,30,33161,39050,73,520,17
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,113,L23-CBI0341-3K,13.3555,100.9881,250,30,33161,39248,73,520,17
LTE,CBI0954,503020,CBI0954-L23,2 KM BYPASS,11,L23-CBI0954-1A,13.40283,101.00489,340,30,33161,38852,165,520,17
LTE,CBI0954,503020,CBI0954-L23,2 KM BYPASS,12,L23-CBI0954-2A,13.40283,101.00489,340,30,33161,39050,165,520,17
LTE,CBI0954,503020,CBI0954-L23,2 KM BYPASS,13,L23-CBI0954-3A,13.40283,101.00489,340,30,33161,39248,165,520,17
LTE,CBI1253,500308,CBI1253-L23,HAPPYWORLD,11,L23-CBI1253-1A,13.30625,100.95263,10,30,33162,38852,153,520,17
LTE,CBI1253,500308,CBI1253-L23,HAPPYWORLD,12,L23-CBI1253-2A,13.30625,100.95263,10,30,33162,39050,153,520,17
LTE,CBI1253,500308,CBI1253-L23,HAPPYWORLD,13,L23-CBI1253-3A,13.30625,100.95263,10,30,33162,39248,153,520,17
LTE,CBI1253,500308,CBI1253-L23,HAPPYWORLD,22,L23-CBI1253-2B,13.30625,100.95263,110,30,33162,39050,155,520,17
LTE,CBI1253,500308,CBI1253-L23,HAPPYWORLD,23,L23-CBI1253-3B,13.30625,100.95263,110,30,33162,39248,155,520,17
LTE,CBI1253,500308,CBI1253-L23,HAPPYWORLD,21,L23-CBI1253-1B,13.30625,100.95263,110,30,33162,38852,155,520,17
LTE,CBI1253,500308,CBI1253-L23,HAPPYWORLD,31,L23-CBI1253-1C,13.30625,100.95263,210,30,33162,38852,154,520,17
LTE,CBI1253,500308,CBI1253-L23,HAPPYWORLD,33,L23-CBI1253-3C,13.30625,100.95263,210,30,33162,39248,154,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",11,L23-CBI1271-1A,13.34972,100.98021,20,30,33161,38852,239,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",12,L23-CBI1271-2A,13.34972,100.98021,20,30,33161,39050,239,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",13,L23-CBI1271-3A,13.34972,100.98021,20,30,33161,39248,239,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",21,L23-CBI1271-1B,13.34972,100.98021,90,30,33161,38852,237,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",22,L23-CBI1271-2B,13.34972,100.98021,90,30,33161,39050,237,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",31,L23-CBI1271-1C,13.34972,100.98021,170,30,33161,38852,245,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",32,L23-CBI1271-2C,13.34972,100.98021,170,30,33161,39050,245,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",33,L23-CBI1271-3C,13.34972,100.98021,170,30,33161,39248,245,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",41,L23-CBI1271-1D,13.34972,100.98021,250,30,33161,38852,235,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",42,L23-CBI1271-2D,13.34972,100.98021,250,30,33161,39050,235,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",43,L23-CBI1271-3D,13.34972,100.98021,250,30,33161,39248,235,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",51,L23-CBI1271-1E,13.34972,100.98021,310,30,33161,38852,243,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",52,L23-CBI1271-2E,13.34972,100.98021,310,30,33161,39050,243,520,17
LTE,CBI1271,501141,CBI1271-L23,"TOYOTA CAR SALES CENTER, CHONBURI",53,L23-CBI1271-3E,13.34972,100.98021,310,30,33161,39248,243,520,17
LTE,CBI1256,500905,CBI1256-L23,WALKING BANGSAEN (SAMMUK TERRACE CONDO),41,L23-CBI1256-1D,13.309692,100.902806,180,30,33162,38852,52,520,17
LTE,CBI1256,500905,CBI1256-L23,WALKING BANGSAEN (SAMMUK TERRACE CONDO),43,L23-CBI1256-3D,13.309692,100.902806,180,30,33162,39248,52,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,12,L23-CBI1382-2A,13.420133,101.05751,30,30,33163,39050,89,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,13,L23-CBI1382-3A,13.420133,101.05751,30,30,33163,39248,89,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,21,L23-CBI1382-1B,13.420133,101.05751,90,30,33163,38852,88,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,22,L23-CBI1382-2B,13.420133,101.05751,90,30,33163,39050,88,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,23,L23-CBI1382-3B,13.420133,101.05751,90,30,33163,39248,88,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,31,L23-CBI1382-1C,13.420133,101.05751,150,30,33163,38852,87,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,32,L23-CBI1382-2C,13.420133,101.05751,150,30,33163,39050,87,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,33,L23-CBI1382-3C,13.420133,101.05751,150,30,33163,39248,87,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,41,L23-CBI1382-1D,13.420133,101.05751,210,30,33163,38852,166,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,42,L23-CBI1382-2D,13.420133,101.05751,210,30,33163,39050,166,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,43,L23-CBI1382-3D,13.420133,101.05751,210,30,33163,39248,166,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,51,L23-CBI1382-1E,13.420133,101.05751,270,30,33163,38852,302,520,17
