SYSTEM,SITE,LAT,LON,CELL_NAME,CID,ENBID,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI0836-L23,12.98087,100.9406,L23-CBI0836-3F,63,502605,260,30,33083,39248,279,520,17
LTE,CBI1282-L23,13.10299,100.92187,L23-CBI1282-2A,12,502091,40,30,33091,39050,284,520,17
LTE,CBI1283-L23,13.43452,101.17947,L23-CBI1283-1A,11,502099,0,30,33033,38852,206,520,17
LTE,CBI1262-L23,13.0523,101.0938,L23-CBI1262-2A,12,500942,340,30,33092,39050,72,520,17
LTE,CBI1290-L23,13.454732,101.02013,L23-CBI1290-2A,12,502421,40,30,33161,39050,337,520,17
LTE,CBI1321-L23,12.60862,100.92638,L23-CBI1321-3A,13,502970,10,30,33082,39248,15,520,17
LTE,CBI1293-L23,13.107165,100.950355,L23-CBI1293-2A,12,502458,20,30,33091,39050,36,520,17
LTE,CBI1258-L23,12.67746,100.98586,L23-CBI1258-2A,12,502456,290,30,33082,39050,21,520,17
LTE,CBI1258-L23,12.67746,100.98586,L23-CBI1258-3A,13,502456,290,30,33082,39248,21,520,17
LTE,CBI1135-L23,13.30708,101.45484,L23-CBI1135-1A,11,502614,310,30,33121,38852,368,520,17
LTE,CBI1135-L23,13.30708,101.45484,L23-CBI1135-2A,12,502614,310,30,33121,39050,368,520,17
LTE,CBI1135-L23,13.30708,101.45484,L23-CBI1135-3A,13,502614,310,30,33121,39248,368,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-1A,11,500098,0,30,33091,38852,181,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-2A,12,500098,0,30,33091,39050,181,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-3A,13,500098,0,30,33091,39248,181,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-1B,21,500098,110,30,33091,38852,180,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-2B,22,500098,110,30,33091,39050,180,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-3B,23,500098,110,30,33091,39248,180,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-1C,31,500098,240,30,33091,38852,182,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-2C,32,500098,240,30,33091,39050,182,520,17
LTE,CBI0008-L23,13.11327264,100.9190013,L23-CBI0008-3C,33,500098,240,30,33091,39248,182,520,17
LTE,CBI0672-L23,12.9339662,100.8846975,L23-CBI0672-1A,11,501118,30,30,33081,38852,43,520,17
LTE,CBI0672-L23,12.9339662,100.8846975,L23-CBI0672-2A,12,501118,30,30,33081,39050,43,520,17
LTE,CBI0672-L23,12.9339662,100.8846975,L23-CBI0672-3A,13,501118,30,30,33081,39248,43,520,17
LTE,CBI0125-L23,12.767424,100.933133,L23-CBI0125-1P,161,500946,230,30,33083,38852,321,520,17
LTE,CBI0125-L23,12.767424,100.933133,L23-CBI0125-2P,162,500946,230,30,33083,39050,321,520,17
LTE,CBI0125-L23,12.767424,100.933133,L23-CBI0125-3P,163,500946,230,30,33083,39248,321,520,17
LTE,CBI1116-L23,13.1153,100.99053,L23-CBI1116-1A,11,502937,300,30,33091,38852,126,520,17
LTE,CBI1116-L23,13.1153,100.99053,L23-CBI1116-2A,12,502937,300,30,33091,39050,126,520,17
LTE,CBI1116-L23,13.1153,100.99053,L23-CBI1116-3A,13,502937,300,30,33091,39248,126,520,17
LTE,CBI1238-L23,13.39052,101.02403,L23-CBI1238-1A,11,502939,30,30,33161,38852,217,520,17
LTE,CBI1238-L23,13.39052,101.02403,L23-CBI1238-2A,12,502939,30,30,33161,39050,217,520,17
LTE,CBI1238-L23,13.39052,101.02403,L23-CBI1238-3A,13,502939,30,30,33161,39248,217,520,17
LTE,CBI0913-L23,12.9475333,100.8863037,L23-CBI0913-3D,43,501596,0,170,33081,39248,485,520,17
LTE,CBI0913-L23,12.9475333,100.8863037,L23-CBI0913-1F,61,501596,0,170,33081,38852,445,520,17
LTE,CBI0913-L23,12.9475333,100.8863037,L23-CBI0913-2F,62,501596,0,170,33081,39050,445,520,17
LTE,CBI0913-L23,12.9475333,100.8863037,L23-CBI0913-3F,63,501596,0,170,33081,39248,445,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-1A,11,501087,60,30,33162,38852,192,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-2A,12,501087,60,30,33162,39050,192,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-3A,13,501087,60,30,33162,39248,192,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-1B,21,501087,170,30,33162,38852,194,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-2B,22,501087,170,30,33162,39050,194,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-3B,23,501087,170,30,33162,39248,194,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-1C,31,501087,260,30,33162,38852,193,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-2C,32,501087,260,30,33162,39050,193,520,17
LTE,CBI1222-L23,13.333358,100.991225,L23-CBI1222-3C,33,501087,260,30,33162,39248,193,520,17
LTE,CBI1287-L23,13.44991,101.01722,L23-CBI1287-1A,11,502323,0,30,33161,38852,18,520,17
LTE,CBI1287-L23,13.44991,101.01722,L23-CBI1287-2A,12,502323,0,30,33161,39050,18,520,17
LTE,CBI1287-L23,13.44991,101.01722,L23-CBI1287-3A,13,502323,0,30,33161,39248,18,520,17
LTE,CBI1290-L23,13.454732,101.02013,L23-CBI1290-1A,11,502421,40,30,33161,38852,337,520,17
LTE,CBI1290-L23,13.454732,101.02013,L23-CBI1290-3A,13,502421,40,30,33161,39248,337,520,17
LTE,CBI1284-L23,12.99556,100.94556,L23-CBI1284-1A,11,502101,350,30,33083,38852,36,520,17
LTE,CBI1284-L23,12.99556,100.94556,L23-CBI1284-2A,12,502101,350,30,33083,39050,36,520,17
LTE,CBI1284-L23,12.99556,100.94556,L23-CBI1284-3A,13,502101,350,30,33083,39248,36,520,17
LTE,CBI1288-L23,13.11034,101.3771,L23-CBI1288-3B,23,500235,140,30,33121,39248,272,520,17
LTE,CBI1288-L23,13.11034,101.3771,L23-CBI1288-1C,31,500235,320,30,33121,38852,271,520,17
LTE,CBI1288-L23,13.11034,101.3771,L23-CBI1288-2C,32,500235,320,30,33121,39050,271,520,17
LTE,CBI1288-L23,13.11034,101.3771,L23-CBI1288-3C,33,500235,320,30,33121,39248,271,520,17
LTE,CBI1216-L23,13.44903,101.11808,L23-CBI1216-1A,11,502615,330,30,33163,38852,322,520,17
LTE,CBI1216-L23,13.44903,101.11808,L23-CBI1216-2A,12,502615,330,30,33163,39050,322,520,17
LTE,CBI1216-L23,13.44903,101.11808,L23-CBI1216-3A,13,502615,330,30,33163,39248,322,520,17
LTE,CBI1286-L23,12.92687,100.88656,L23-CBI1286-1A,11,502307,355,30,33081,38852,281,520,17
LTE,CBI1286-L23,12.92687,100.88656,L23-CBI1286-2A,12,502307,355,30,33081,39050,281,520,17
LTE,CBI1286-L23,12.92687,100.88656,L23-CBI1286-3A,13,502307,355,30,33081,39248,281,520,17
LTE,CBI1318-L23,13.14354,100.9132,L23-CBI1318-1A,11,502927,0,30,33091,38852,81,520,17
LTE,CBI1318-L23,13.14354,100.9132,L23-CBI1318-2A,12,502927,0,30,33091,39050,81,520,17
LTE,CBI1318-L23,13.14354,100.9132,L23-CBI1318-3A,13,502927,0,30,33091,39248,81,520,17
LTE,CBI1279-L23,13.23557,101.14876,L23-CBI1279-1A,11,501805,40,30,33163,38852,219,520,17
LTE,CBI1279-L23,13.23557,101.14876,L23-CBI1279-2A,12,501805,40,30,33163,39050,219,520,17
LTE,CBI1279-L23,13.23557,101.14876,L23-CBI1279-3A,13,501805,40,30,33163,39248,219,520,17
LTE,CBI1275-L23,13.10828,100.92249,L23-CBI1275-1A,11,500970,30,30,33091,38852,275,520,17
LTE,CBI1275-L23,13.10828,100.92249,L23-CBI1275-2A,12,500970,30,30,33091,39050,275,520,17
LTE,CBI1275-L23,13.10828,100.92249,L23-CBI1275-3A,13,500970,30,30,33091,39248,275,520,17
LTE,CBI1313-L23,13.11158,100.91681,L23-CBI1313-1A,11,502846,20,30,33091,38852,27,520,17
LTE,CBI1313-L23,13.11158,100.91681,L23-CBI1313-2A,12,502846,20,30,33091,39050,27,520,17
LTE,CBI1313-L23,13.11158,100.91681,L23-CBI1313-3A,13,502846,20,30,33091,39248,27,520,17
LTE,CBI1282-L23,13.10299,100.92187,L23-CBI1282-1A,11,502091,40,30,33091,38852,284,520,17
LTE,CBI1177-L23,13.282322,101.436375,L23-CBI1177-1A,11,500969,30,30,33121,38852,213,520,17
LTE,CBI1177-L23,13.282322,101.436375,L23-CBI1177-2A,12,500969,30,30,33121,39050,213,520,17
LTE,CBI1177-L23,13.282322,101.436375,L23-CBI1177-3A,13,500969,30,30,33121,39248,213,520,17
LTE,CBI1139-L23,13.33333,101.11915,L23-CBI1139-1A,11,502938,320,30,33163,38852,172,520,17
LTE,CBI1139-L23,13.33333,101.11915,L23-CBI1139-2A,12,502938,320,30,33163,39050,172,520,17
LTE,CBI1139-L23,13.33333,101.11915,L23-CBI1139-3A,13,502938,320,30,33163,39248,172,520,17
LTE,CBI1321-L23,12.60862,100.92638,L23-CBI1321-1A,11,502970,10,30,33082,38852,15,520,17
LTE,CBI1321-L23,12.60862,100.92638,L23-CBI1321-2A,12,502970,10,30,33082,39050,15,520,17
LTE,CBI1264-L23,13.12069,101.04049,L23-CBI1264-1A,11,502329,320,30,33091,38852,101,520,17
LTE,CBI1264-L23,13.12069,101.04049,L23-CBI1264-2A,12,502329,320,30,33091,39050,101,520,17
LTE,CBI1264-L23,13.12069,101.04049,L23-CBI1264-3A,13,502329,320,30,33091,39248,101,520,17
LTE,CBI1273-L23,13.0637,101.0877,L23-CBI1273-1A,11,502331,80,30,33092,38852,23,520,17
LTE,CBI1273-L23,13.0637,101.0877,L23-CBI1273-2A,12,502331,80,30,33092,39050,23,520,17
LTE,CBI1273-L23,13.0637,101.0877,L23-CBI1273-3A,13,502331,80,30,33092,39248,23,520,17
LTE,CBI1291-L23,13.10509,100.95906,L23-CBI1291-1A,11,502436,5,30,33091,38852,304,520,17
LTE,CBI1291-L23,13.10509,100.95906,L23-CBI1291-2A,12,502436,5,30,33091,39050,304,520,17
LTE,CBI1291-L23,13.10509,100.95906,L23-CBI1291-3A,13,502436,5,30,33091,39248,304,520,17
LTE,CBI1293-L23,13.107165,100.950355,L23-CBI1293-1A,11,502458,20,30,33091,38852,36,520,17
LTE,CBI1293-L23,13.107165,100.950355,L23-CBI1293-3A,13,502458,20,30,33091,39248,36,520,17
LTE,CBI1163-L23,13.145644,101.40138,L23-CBI1163-1A,11,502474,10,30,33121,38852,327,520,17
LTE,CBI1163-L23,13.145644,101.40138,L23-CBI1163-2A,12,502474,10,30,33121,39050,327,520,17
LTE,CBI1163-L23,13.145644,101.40138,L23-CBI1163-3A,13,502474,10,30,33121,39248,327,520,17
LTE,CBI1158-L23,13.351813,100.9826803,L23-CBI1158-1A,11,500927,360,170,33161,38852,447,520,17
LTE,CBI1158-L23,13.351813,100.9826803,L23-CBI1158-2A,12,500927,360,170,33161,39050,447,520,17
LTE,CBI1158-L23,13.351813,100.9826803,L23-CBI1158-3A,13,500927,360,170,33161,39248,447,520,17
LTE,CBI1206-L23,12.700851,100.889113,L23-CBI1206-1A,11,502948,0,170,33082,38852,474,520,17
LTE,CBI1206-L23,12.700851,100.889113,L23-CBI1206-2A,12,502948,0,170,33082,39050,474,520,17
LTE,CBI1206-L23,12.700851,100.889113,L23-CBI1206-3A,13,502948,0,170,33082,39248,474,520,17
LTE,CBI1255-L23,13.284933,100.923176,L23-CBI1255-1A,11,500933,0,170,33162,38852,456,520,17
LTE,CBI1255-L23,13.284933,100.923176,L23-CBI1255-2A,12,500933,0,170,33162,39050,456,520,17
