SYSTEM,SITE,LAT,LON,CELL_NAME,CID,DIR,ANT_BW,LAC,MCC,MNC,EUARFCN,PCI
LTE,BKK7659,13.715501,100.445343,L23-BKK7659-2A,12,70,170,31062,520,17,39050,362
LTE,BKK7659,13.715501,100.445343,L23-BKK7659-3A,13,70,170,31062,520,17,39248,362
LTE,BKK7660,13.712896,100.434052,L23-BKK7660-1A,11,85,30,31062,520,17,38852,359
LTE,BKK7660,13.712896,100.434052,L23-BKK7660-2A,12,85,30,31062,520,17,39050,359
LTE,BKK7660,13.712896,100.434052,L23-BKK7660-3A,13,85,30,31062,520,17,39248,359
LTE,BKK7661,13.711963,100.4223,L23-BKK7661-1A,11,85,30,31062,520,17,38852,183
LTE,BKK7661,13.711963,100.4223,L23-BKK7661-2A,12,85,30,31062,520,17,39050,183
LTE,BKK7661,13.711963,100.4223,L23-BKK7661-3A,13,85,30,31062,520,17,39248,183
LTE,BKK7662,13.710916,100.409297,L23-BKK7662-1A,11,85,170,31013,520,17,38852,403
LTE,BKK7662,13.710916,100.409297,L23-BKK7662-2A,12,85,170,31013,520,17,39050,403
LTE,BKK7662,13.710916,100.409297,L23-BKK7662-3A,13,85,170,31013,520,17,39248,403
LTE,BKK7772,13.69279,100.40821,L23-BKK7772-2A,12,340,30,31111,520,17,39050,142
LTE,BKK7772,13.69279,100.40821,L23-BKK7772-1A,11,340,30,31111,520,17,38852,142
LTE,BKK7772,13.69279,100.40821,L23-BKK7772-3A,13,340,30,31111,520,17,39248,142
LTE,BKKA285,13.71688,100.4202,L23-BKKA285-1A,11,0,30,31062,520,17,38852,207
LTE,BKKA285,13.71688,100.4202,L23-BKKA285-2A,12,0,30,31062,520,17,39050,207
LTE,BKKA285,13.71688,100.4202,L23-BKKA285-3A,13,0,30,31062,520,17,39248,207
LTE,BKKA265,13.7076,100.407,L23-BKKA265-3A,13,30,30,31013,520,17,39248,46
LTE,BKKA265,13.7076,100.407,L23-BKKA265-1A,11,30,30,31013,520,17,38852,46
LTE,BKKA265,13.7076,100.407,L23-BKKA265-2A,12,30,30,31013,520,17,39050,46
LTE,BKK0192,13.717876,100.467468,L23-BKK0192-1E,51,320,30,31062,520,17,38852,165
LTE,BKK0192,13.717876,100.467468,L23-BKK0192-2E,52,320,30,31062,520,17,39050,165
LTE,BKK0192,13.717876,100.467468,L23-BKK0192-3E,53,320,30,31062,520,17,39248,165
LTE,BKK0284,13.69481208,100.4218025,L23-BKK0284-1D,41,270,30,31111,520,17,38852,198
LTE,BKK0284,13.69481208,100.4218025,L23-BKK0284-2D,42,270,30,31111,520,17,39050,198
LTE,BKK0284,13.69481208,100.4218025,L23-BKK0284-3D,43,270,30,31111,520,17,39248,198
LTE,BKK5855,13.70936,100.42522,L23-BKK5855-1E,51,310,30,31062,520,17,38852,65
LTE,BKK5855,13.70936,100.42522,L23-BKK5855-2E,52,310,30,31062,520,17,39050,65
LTE,BKK5855,13.70936,100.42522,L23-BKK5855-3E,53,310,30,31062,520,17,39248,65
LTE,BKK2650,13.699288,100.43249,L23-BKK2650-1D,41,250,30,31111,520,17,38852,210
