SYSTEM,SITE,LAT,LON,CELL_NAME,CID,DIR,ANT_BW,LAC,MCC,MNC,EUARFCN,PCI
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-2C,32,180,30,31021,520,17,39050,201
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-1C,31,180,30,31021,520,17,38852,201
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-1D,41,270,30,31021,520,17,38852,89
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-2D,42,270,30,31021,520,17,39050,89
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-3D,43,270,30,31021,520,17,39248,89
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-3C,33,180,30,31021,520,17,39248,201
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-1B,21,90,30,31021,520,17,38852,385
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-2B,22,90,30,31021,520,17,39050,385
LTE,BKKA024,13.77867,100.57873,L23-BKKA024-3B,23,90,30,31021,520,17,39248,385
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-1B,21,90,30,31021,520,17,38852,267
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-3B,23,90,30,31021,520,17,39248,267
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-2B,22,90,30,31021,520,17,39050,267
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-2C,32,145,30,31021,520,17,39050,68
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-3C,33,145,30,31021,520,17,39248,68
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-1C,31,145,30,31021,520,17,38852,68
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-1D,41,205,30,31021,520,17,38852,418
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-3D,43,205,30,31021,520,17,39248,418
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-2D,42,205,30,31021,520,17,39050,418
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-2E,52,270,30,31021,520,17,39050,426
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-3E,53,270,30,31021,520,17,39248,426
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-1E,51,270,30,31021,520,17,38852,426
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-1F,61,330,30,31021,520,17,38852,116
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-3F,63,330,30,31021,520,17,39248,116
LTE,BKKA060,13.753817,100.57006,L23-BKKA060-2F,62,330,30,31021,520,17,39050,116
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-1A,11,360,170,33052,520,17,38852,480
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-2A,12,360,170,33052,520,17,39050,480
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-3A,13,360,170,33052,520,17,39248,480
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-3B,23,360,170,33052,520,17,39248,502
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-2B,22,360,170,33052,520,17,39050,502
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-1B,21,360,170,33052,520,17,38852,502
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-1C,31,360,170,33052,520,17,38852,482
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-2C,32,360,170,33052,520,17,39050,482
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-3C,33,360,170,33052,520,17,39248,482
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-3D,43,360,170,33052,520,17,39248,483
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-2D,42,360,170,33052,520,17,39050,483
LTE,BKK1663,13.74813607,100.5681847,L23-BKK1663-1D,41,360,170,33052,520,17,38852,483
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-1B,21,85,30,31023,520,17,38852,276
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-2B,22,85,30,31023,520,17,39050,276
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-3B,23,85,30,31023,520,17,39248,276
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-3C,33,210,30,31023,520,17,39248,355
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-2C,32,210,30,31023,520,17,39050,355
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-1C,31,210,30,31023,520,17,38852,355
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-1D,41,270,30,31023,520,17,38852,185
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-2D,42,270,30,31023,520,17,39050,185
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-3D,43,270,30,31023,520,17,39248,185
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-3E,53,320,30,31023,520,17,39248,61
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-2E,52,320,30,31023,520,17,39050,61
LTE,BKK7803,13.76679,100.58218,L23-BKK7803-1E,51,320,30,31023,520,17,38852,61
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-1B,21,80,30,31021,520,17,38852,25
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-3B,23,80,30,31021,520,17,39248,25
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-2B,22,80,30,31021,520,17,39050,25
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-2C,32,170,30,31021,520,17,39050,30
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-3C,33,170,30,31021,520,17,39248,30
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-1C,31,170,30,31021,520,17,38852,30
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-1D,41,230,30,31021,520,17,38852,43
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-3D,43,230,30,31021,520,17,39248,43
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-2D,42,230,30,31021,520,17,39050,43
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-2E,52,290,30,31021,520,17,39050,71
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-3E,53,290,30,31021,520,17,39248,71
LTE,BKK7933,13.77253,100.57726,L23-BKK7933-1E,51,290,30,31021,520,17,38852,71
LTE,RM-BKK0919/G,13.783498,100.585336,L23-BKK0919-1G,71,285,30,31023,520,17,38852,481
LTE,RM-BKK0919/G,13.783498,100.585336,L23-BKK0919-2G,72,285,30,31023,520,17,39050,481
LTE,RM-BKK0919/G,13.783498,100.585336,L23-BKK0919-3G,73,285,30,31023,520,17,39248,481
LTE,RM-BKK2914/I,13.747799,100.564999,L23-BKK2914-1I,91,160,30,33052,520,17,38852,189
LTE,RM-BKK2914/I,13.747799,100.564999,L23-BKK2914-2I,92,160,30,33052,520,17,39050,189
LTE,RM-BKK2914/I,13.747799,100.564999,L23-BKK2914-3I,93,160,30,33052,520,17,39248,189
LTE,RM-BKK2963/G,13.77755,100.575561,L23-BKK2963-1G,71,310,30,31021,520,17,38852,193
LTE,RM-BKK2963/G,13.77755,100.575561,L23-BKK2963-2G,72,310,30,31021,520,17,0,193
LTE,RM-BKK2963/G,13.77755,100.575561,L23-BKK2963-3G,73,310,30,31021,520,17,39248,193
LTE,RM-BKK2963/H,13.780326,100.573982,L23-BKK2963-3H,83,320,30,31021,520,17,39248,194
LTE,RM-BKK2963/H,13.780326,100.573982,L23-BKK2963-2H,82,320,30,31021,520,17,39050,194
LTE,RM-BKK2963/H,13.780326,100.573982,L23-BKK2963-1H,81,320,30,31021,520,17,38852,194
LTE,RM-BKK3153/G,13.751413,100.576317,L23-BKK3153-1G,71,190,30,31023,520,17,38852,479
LTE,RM-BKK3153/G,13.751413,100.576317,L23-BKK3153-2G,72,190,30,31023,520,17,39050,479
LTE,RM-BKK3153/G,13.751413,100.576317,L23-BKK3153-3G,73,190,30,31023,520,17,39248,479
LTE,RM-BKK3153/G,13.751413,100.576317,L23-BKK3153-3H,83,40,30,31023,520,17,39248,489
LTE,RM-BKK3153/G,13.751413,100.576317,L23-BKK3153-2H,82,40,30,31023,520,17,39050,489
LTE,RM-BKK3153/G,13.751413,100.576317,L23-BKK3153-1H,81,40,30,31023,520,17,38852,489
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-1A,11,0,30,31021,520,17,38852,213
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-2A,12,0,30,31021,520,17,39050,213
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-3A,13,0,30,31021,520,17,39248,213
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-3B,23,105,30,31021,520,17,39248,288
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-2B,22,105,30,31021,520,17,39050,288
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-1B,21,105,30,31021,520,17,38852,288
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-1C,31,100,30,31021,520,17,38852,209
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-2C,32,100,30,31021,520,17,39050,209
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-3C,33,100,30,31021,520,17,39248,209
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-3D,43,30,30,31021,520,17,39248,207
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-2D,42,30,30,31021,520,17,39050,207
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-1D,41,30,30,31021,520,17,38852,207
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-1E,51,110,30,31021,520,17,38852,211
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-2E,52,110,30,31021,520,17,39050,211
LTE,BKK4670,13.761675,100.568181,L23-BKK4670-3E,53,110,30,31021,520,17,39248,211
LTE,RM-BKK4670/G,13.755466,100.565932,L23-BKK4670-1G,71,135,30,31021,520,17,38852,212
LTE,RM-BKK4670/G,13.755466,100.565932,L23-BKK4670-2G,72,135,30,31021,520,17,39050,212
LTE,RM-BKK4670/G,13.755466,100.565932,L23-BKK4670-3G,73,135,30,31021,520,17,39248,212
LTE,RM-BKK4670/G,13.755466,100.565932,L23-BKK4670-3H,83,90,30,31021,520,17,39248,364
LTE,RM-BKK4670/G,13.755466,100.565932,L23-BKK4670-2H,82,90,30,31021,520,17,39050,364
LTE,RM-BKK4670/G,13.755466,100.565932,L23-BKK4670-1H,81,90,30,31021,520,17,38852,364
LTE,BKK1429,13.74761,100.579525,L23-BKK1429-1A,11,360,30,31023,520,17,38852,458
LTE,BKK1429,13.74761,100.579525,L23-BKK1429-2A,12,360,30,31023,520,17,39050,458
LTE,BKK1429,13.74761,100.579525,L23-BKK1429-3A,13,360,30,31023,520,17,39248,458
LTE,RM-BKK4904/B,13.77229,100.583911,L23-BKK4904-1B,21,0,30,31023,520,17,38852,336
LTE,RM-BKK4904/B,13.77229,100.583911,L23-BKK4904-2B,22,0,30,31023,520,17,39050,336
LTE,RM-BKK4904/B,13.77229,100.583911,L23-BKK4904-3B,23,0,30,31023,520,17,39248,336
LTE,RM-BKK4904/C,13.774346,100.584161,L23-BKK4904-3C,33,210,30,31023,520,17,39248,338
LTE,RM-BKK4904/C,13.774346,100.584161,L23-BKK4904-2C,32,210,30,31023,520,17,39050,338
LTE,RM-BKK4904/C,13.774346,100.584161,L23-BKK4904-1C,31,210,30,31023,520,17,38852,338
LTE,BKK4904,13.775029,100.584397,L23-BKK4904-1A,11,5,30,31023,520,17,38852,335
LTE,BKK4904,13.775029,100.584397,L23-BKK4904-2A,12,5,30,31023,520,17,39050,335
LTE,BKK4904,13.775029,100.584397,L23-BKK4904-3A,13,5,30,31023,520,17,39248,335
LTE,RM-BKK4904/D,13.775029,100.584397,L23-BKK4904-3D,43,180,30,31023,520,17,39248,337
LTE,RM-BKK4904/D,13.775029,100.584397,L23-BKK4904-1D,41,180,30,31023,520,17,38852,337
LTE,RM-BKK4904/D,13.775029,100.584397,L23-BKK4904-2D,42,180,30,31023,520,17,39050,337
LTE,RM-BKK6716/A,13.756221,100.5658,L23-BKK6716-2B,22,255,30,31021,520,17,39050,314
LTE,RM-BKK6716/A,13.756221,100.5658,L23-BKK6716-1B,21,255,30,31021,520,17,38852,314
LTE,RM-BKK6716/A,13.756221,100.5658,L23-BKK6716-3B,23,255,30,31021,520,17,39248,314
LTE,RM-BKK6716/A,13.756221,100.5658,L23-BKK6716-2A,12,100,30,31021,520,17,39050,472
LTE,RM-BKK6716/A,13.756221,100.5658,L23-BKK6716-3A,13,100,30,31021,520,17,39248,472
LTE,RM-BKK6716/A,13.756221,100.5658,L23-BKK6716-1A,11,100,30,31021,520,17,38852,472
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-3B,23,100,30,31023,520,17,39248,300
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-1B,21,100,30,31023,520,17,38852,300
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-2B,22,100,30,31023,520,17,39050,300
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-2C,32,180,30,31023,520,17,39050,356
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-1C,31,180,30,31023,520,17,38852,356
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-3C,33,180,30,31023,520,17,39248,356
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-3D,43,270,30,31023,520,17,39248,129
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-1D,41,270,30,31023,520,17,38852,129
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-2D,42,270,30,31023,520,17,39050,129
LTE,BKK7849,13.75007,100.58813,L23-BKK7849-3A,13,30,30,31023,520,17,39248,73
