SYSTEM	SITE	ENBID	ENBNAME	SITE_NAME	CID	CELL_NAME	LAT	LON	DIR	ANT_BW	TAC	MCC	MNC	EARFCN	PCI
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	32	L23-BKK3065-2C	13.72122947	100.530208	360	170	33023	520	17	39050	495
LTE	BKK1859	302850	BKK1859-L23	HOLIDAY_INN	12	L23-BKK1859-2A	13.722911	100.519593	360	170	33021	520	17	39050	485
LTE	BKK1859	302850	BKK1859-L23	HOLIDAY_INN	13	L23-BKK1859-3A	13.722911	100.519593	360	170	33021	520	17	39248	485
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	11	L23-BKK7195-1A	13.74594	100.5183	40	30	33021	520	17	38852	277
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	12	L23-BKK7195-2A	13.74594	100.5183	40	30	33021	520	17	39050	277
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	13	L23-BKK7195-3A	13.74594	100.5183	40	30	33021	520	17	39248	277
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	23	L23-BKK7195-3B	13.74594	100.5183	210	30	33021	520	17	39248	278
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	22	L23-BKK7195-2B	13.74594	100.5183	210	30	33021	520	17	39050	278
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	21	L23-BKK7195-1B	13.74594	100.5183	210	30	33021	520	17	38852	278
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	31	L23-BKK7195-1C	13.74594	100.5183	300	30	33021	520	17	38852	285
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	32	L23-BKK7195-2C	13.74594	100.5183	300	30	33021	520	17	39050	285
LTE	BKK7195	303103	BKK7195-L23	RONG MUANG	33	L23-BKK7195-3C	13.74594	100.5183	300	30	33021	520	17	39248	285
LTE	BKK3501	304730	BKK3501-L23	SIVATEL	23	L23-BKK3501-3B	13.74417	100.5478983	360	170	33053	520	17	39248	433
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	33	L23-BKK3065-3C	13.72122947	100.530208	360	170	33023	520	17	39248	495
LTE	BKK1497	305431	BKK1497-L23	SINDHORN	13	L23-BKK1497-3A	13.73578871	100.5450323	360	170	33051	520	17	39248	445
LTE	BKK1331	305730	BKK1331-L23	CP_TOWER	31	L23-BKK1331-1C	13.72776715	100.5327654	360	170	33022	520	17	38852	499
LTE	BKK1593	305737	BKK1593-L23	SATHON_THANI	33	L23-BKK1593-3C	13.72225002	100.5303533	360	170	33023	520	17	39248	455
