SYSTEM,SITE,LAT,LON,CELL_NAME,CID,DIR,ANT_BW,LAC,MCC,MNC,EUARFCN,PCI
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-1C,31,200,30,35102,520,17,38852,343
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-3C,33,200,30,35102,520,17,39248,343
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-2C,32,200,30,35102,520,17,39050,343
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-2D,42,260,30,35102,520,17,39050,344
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-3D,43,260,30,35102,520,17,39248,344
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-1D,41,260,30,35102,520,17,38852,344
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-2A,12,10,30,35102,520,17,39050,87
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-3A,13,10,30,35102,520,17,39248,87
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-1A,11,10,30,35102,520,17,38852,87
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-1B,21,95,30,35102,520,17,38852,88
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-3B,23,95,30,35102,520,17,39248,88
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-2B,22,95,30,35102,520,17,39050,88
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-2C,32,310,30,35102,520,17,39050,89
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-3C,33,310,30,35102,520,17,39248,89
LTE,CMI0724,18.53757,98.86079,L23-CMI0724-1C,31,310,30,35102,520,17,38852,89
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-1A,11,330,30,35102,520,17,38852,291
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-2A,12,330,30,35102,520,17,39050,291
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-3A,13,330,30,35102,520,17,39248,291
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-3B,23,75,30,35102,520,17,39248,295
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-2B,22,75,30,35102,520,17,39050,295
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-1B,21,75,30,35102,520,17,38852,295
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-1C,31,155,30,35102,520,17,38852,296
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-2C,32,155,30,35102,520,17,39050,296
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-3C,33,155,30,35102,520,17,39248,296
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-3D,43,220,30,35102,520,17,39248,294
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-2D,42,220,30,35102,520,17,39050,294
LTE,CMI0182,18.5878563,98.9142685,L23-CMI0182-1D,41,220,30,35102,520,17,38852,294
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-1A,11,315,30,35102,520,17,38852,228
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-2A,12,315,30,35102,520,17,39050,228
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-3A,13,315,30,35102,520,17,39248,228
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-3B,23,70,30,35102,520,17,39248,229
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-2B,22,70,30,35102,520,17,39050,229
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-1B,21,70,30,35102,520,17,38852,229
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-1C,31,150,30,35102,520,17,38852,225
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-2C,32,150,30,35102,520,17,39050,225
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-3C,33,150,30,35102,520,17,39248,225
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-3D,43,245,30,35102,520,17,39248,230
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-2D,42,245,30,35102,520,17,39050,230
LTE,CMI0361,18.61241136,98.85144743,L23-CMI0361-1D,41,245,30,35102,520,17,38852,230
LTE,CMI0372,18.59308,98.88065,L23-CMI0372-2A,12,40,30,35102,520,17,39050,216
LTE,CMI0372,18.59308,98.88065,L23-CMI0372-3A,13,40,30,35102,520,17,39248,216
LTE,CMI0372,18.59308,98.88065,L23-CMI0372-1A,11,40,30,35102,520,17,38852,216
LTE,CMI0372,18.59308,98.88065,L23-CMI0372-1B,21,130,30,35102,520,17,38852,217
LTE,CMI0372,18.59308,98.88065,L23-CMI0372-3B,23,130,30,35102,520,17,39248,217
LTE,CMI0372,18.59308,98.88065,L23-CMI0372-2B,22,130,30,35102,520,17,39050,217
LTE,CMI0372,18.59308,98.88065,L23-CMI0372-2C,32,300,30,35102,520,17,39050,218
