SYSTEM	SITE	LAT	LON	CELL_NAME	CID	DIR	ANT_BW	LAC	MCC	MNC	EARFCN	PCI
LTE	CBI0920-L23	12.960555	100.9275	L23-CBI0920-3A	13	0	30	33081	520	17	39248                                                       	269
LTE	CBI0439-L23	13.4175	101.001944	L23-CBI0439-2C	32	150	30	33161	520	17	39050                                                       	34
LTE	CBI0462-L23	13.321299	101.447692	L23-CBI0462-1C	31	240	30	33121	520	17	38852                                                       	355
LTE	CBI0242-L23	13.315833	101.318333	L23-CBI0242-1B	21	50	30	33092	520	17	38852                                                       	113
LTE	CBI0283-L23	13.290277	101.574166	L23-CBI0283-3B	23	180	30	33121	520	17	39248                                                       	393
LTE	CBI0519-L23	13.433055	101.061388	L23-CBI0519-1A	11	60	30	33163	520	17	38852                                                       	86
LTE	CBI0942-L23	13.089722	101.013611	L23-CBI0942-1D	41	250	30	33091	520	17	38852                                                       	120
LTE	CBI1278-L23	12.93284	100.90003	L23-CBI1278-1C	31	215	30	33081	520	17	38852                                                       	45
LTE	CBI0678-L23	12.90613	100.86918	L23-CBI0678-2A	12	180	30	33081	520	17	39050                                                       	183
LTE	CBI1326-L23	13.07255	100.89104	L23-CBI1326-2B	22	70	30	33091	520	17	39050                                                       	297
LTE	CBI0495-L23	13.076666	100.926388	L23-CBI0495-2D	42	190	30	33091	520	17	39050                                                       	140
LTE	CBI0558-L23	13.453055	101.060277	L23-CBI0558-3C	33	150	30	33163	520	17	39248                                                       	311
LTE	CBI1356-L23	13.394084	101.265551	L23-CBI1356-2B	22	140	30	33092	520	17	39050                                                       	272
LTE	CBI0562-L23	13.087767	100.917927	L23-CBI0562-2A	12	0	30	33091	520	17	39050                                                       	496
LTE	CBI0525-L23	13.084166	100.978611	L23-CBI0525-1D	41	270	30	33091	520	17	38852                                                       	36
LTE	CBI0198-L23	12.97361	100.89333	L23-CBI0198-2C	32	170	30	33081	520	17	39050                                                       	282
LTE	CBI0563-L23	12.85082	100.93688	L23-CBI0563-2C	32	260	30	33083	520	17	39050                                                       	202
LTE	CBI0464-L23	13.179197	101.081067	L23-CBI0464-3D	43	75	30	33091	520	17	39248                                                       	214
LTE	CBI1042-L23	13.329444	100.979166	L23-CBI1042-3D	43	200	30	33162	520	17	39248                                                       	402
LTE	CBI0171-L23	13.441111	101.283888	L23-CBI0171-2B	22	60	30	33092	520	17	39050                                                       	382
